"Model","IPB","Possible"
"../results_A100D-2-20C/faster_rcnn_R_101_C4_3x","16","Yes"
"../results_A100D-2-20C/faster_rcnn_R_101_C4_3x","32","Yes"
"../results_A100D-2-20C/faster_rcnn_R_101_C4_3x","64","No"
"../results_A100D-2-20C/faster_rcnn_R_101_C4_3x","8","Yes"
"../results_A100D-2-20C/faster_rcnn_R_101_DC5_3x","16","Yes"
"../results_A100D-2-20C/faster_rcnn_R_101_DC5_3x","32","No"
"../results_A100D-2-20C/faster_rcnn_R_101_DC5_3x","64","No"
"../results_A100D-2-20C/faster_rcnn_R_101_DC5_3x","8","Yes"
"../results_A100D-2-20C/faster_rcnn_R_101_FPN_3x","16","Yes"
"../results_A100D-2-20C/faster_rcnn_R_101_FPN_3x","32","No"
"../results_A100D-2-20C/faster_rcnn_R_101_FPN_3x","64","No"
"../results_A100D-2-20C/faster_rcnn_R_101_FPN_3x","8","Yes"
"../results_A100D-2-20C/faster_rcnn_R_50_C4_1x","16","Yes"
"../results_A100D-2-20C/faster_rcnn_R_50_C4_1x","32","Yes"
"../results_A100D-2-20C/faster_rcnn_R_50_C4_1x","64","No"
"../results_A100D-2-20C/faster_rcnn_R_50_C4_1x","8","Yes"
"../results_A100D-2-20C/faster_rcnn_R_50_C4_3x","16","Yes"
"../results_A100D-2-20C/faster_rcnn_R_50_C4_3x","32","Yes"
"../results_A100D-2-20C/faster_rcnn_R_50_C4_3x","64","No"
"../results_A100D-2-20C/faster_rcnn_R_50_C4_3x","8","Yes"
"../results_A100D-2-20C/faster_rcnn_R_50_DC5_1x","16","Yes"
"../results_A100D-2-20C/faster_rcnn_R_50_DC5_1x","32","Yes"
"../results_A100D-2-20C/faster_rcnn_R_50_DC5_1x","64","No"
"../results_A100D-2-20C/faster_rcnn_R_50_DC5_1x","8","Yes"
"../results_A100D-2-20C/faster_rcnn_R_50_DC5_3x","16","Yes"
"../results_A100D-2-20C/faster_rcnn_R_50_DC5_3x","32","Yes"
"../results_A100D-2-20C/faster_rcnn_R_50_DC5_3x","64","No"
"../results_A100D-2-20C/faster_rcnn_R_50_DC5_3x","8","Yes"
"../results_A100D-2-20C/faster_rcnn_R_50_FPN_1x","16","Yes"
"../results_A100D-2-20C/faster_rcnn_R_50_FPN_1x","32","Yes"
"../results_A100D-2-20C/faster_rcnn_R_50_FPN_1x","64","No"
"../results_A100D-2-20C/faster_rcnn_R_50_FPN_1x","8","Yes"
"../results_A100D-2-20C/faster_rcnn_R_50_FPN_3x","16","Yes"
"../results_A100D-2-20C/faster_rcnn_R_50_FPN_3x","32","Yes"
"../results_A100D-2-20C/faster_rcnn_R_50_FPN_3x","64","No"
"../results_A100D-2-20C/faster_rcnn_R_50_FPN_3x","8","Yes"
"../results_A100D-2-20C/faster_rcnn_X_101_32x8d_FPN_3x","16","No"
"../results_A100D-2-20C/faster_rcnn_X_101_32x8d_FPN_3x","32","No"
"../results_A100D-2-20C/faster_rcnn_X_101_32x8d_FPN_3x","64","No"
"../results_A100D-2-20C/faster_rcnn_X_101_32x8d_FPN_3x","8","Yes"
"../results_A100D-2-20C/retinanet_R_101_FPN_3x","16","Yes"
"../results_A100D-2-20C/retinanet_R_101_FPN_3x","32","No"
"../results_A100D-2-20C/retinanet_R_101_FPN_3x","64","No"
"../results_A100D-2-20C/retinanet_R_101_FPN_3x","8","Yes"
"../results_A100D-2-20C/retinanet_R_50_FPN_1x","16","Yes"
"../results_A100D-2-20C/retinanet_R_50_FPN_1x","16","Yes"
"../results_A100D-2-20C/retinanet_R_50_FPN_1x","32","No"
"../results_A100D-2-20C/retinanet_R_50_FPN_1x","64","No"
"../results_A100D-2-20C/retinanet_R_50_FPN_1x","8","Yes"
"../results_A100D-2-20C/retinanet_R_50_FPN_3x","16","Yes"
"../results_A100D-2-20C/retinanet_R_50_FPN_3x","32","No"
"../results_A100D-2-20C/retinanet_R_50_FPN_3x","64","No"
"../results_A100D-2-20C/retinanet_R_50_FPN_3x","8","Yes"
